Subject,Stimuli,FixStart,FixEnd,FixDur,XPos,YPos,ROI,Block,Trial,ImageType,Species,SubjectName,roi_type,roi_index,saliency,area
Cheyenne_20240702_1420,FStil02.png,865.896,1052.541,189.88,324,729,Fire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,60.46723937988281,1802139
Cheyenne_20240702_1420,FStil02.png,1082.434,1265.844,186.666,1239,793,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,175.27098083496094,1802139
Cheyenne_20240702_1420,FStil02.png,1345.851,1472.485,129.89,175,860,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,2,6,65.20771789550781,99096
Cheyenne_20240702_1420,FStil02.png,1569.104,1745.775,179.899,1569,344,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,41.298213958740234,1802139
Cheyenne_20240702_1420,FStil02.png,2172.398,2315.591,146.658,1629,873,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,72.54042053222656,1802139
Cheyenne_20240702_1420,FStil02.png,2755.551,2948.854,196.754,1622,202,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,38.676963806152344,1802139
Cheyenne_20240702_1420,FStil03.png,241.51,331.612,93.324,1444,607,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,1,101.77839660644531,118382
Cheyenne_20240702_1420,FStil03.png,348.177,571.582,226.615,991,513,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,1,110.65767669677734,118382
Cheyenne_20240702_1420,FStil03.png,588.122,701.471,116.791,979,454,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,70.6422119140625,1624272
Cheyenne_20240702_1420,FStil03.png,724.903,1004.846,283.146,1492,636,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,1,89.37794494628906,118382
Cheyenne_20240702_1420,FStil03.png,2184.692,2331.343,149.834,321,772,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,46.112796783447266,1624272
Cheyenne_20240702_1420,FStil03.png,2711.279,2884.593,176.558,186,589,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,2,7,53.35687255859375,71167
